,Random (500),Reverse (500),Twenty percent sorted (500),Random (2500),Reverse (2500),Twenty percent sorted (2500),Random (12500),Reverse (12500),Twenty percent sorted (12500),Random (62500),Reverse (62500),Twenty percent sorted (62500),
adap_sequencial_search1 comparisons,142,282,41,1351,2380,1429,11885,11116,8705,18835,43794,22652,
adap_sequencial_search1 comparisons,360,376,423,916,428,1178,5307,9044,9181,10905,23025,34744,
adap_sequencial_search1 comparisons,117,449,370,310,1603,1038,2880,3845,5709,16866,53733,6211,
adap_sequencial_search1 comparisons,366,114,468,1311,257,2436,11697,7844,5561,39786,43940,49896,
adap_sequencial_search1 comparisons,238,336,300,2429,2175,522,4950,8450,9812,23253,60850,51950,
adap_sequencial_search1 comparisons,395,233,497,2461,667,82,4351,11733,5673,44462,9994,46650,
adap_sequencial_search1 comparisons,162,450,133,739,815,107,9555,10266,11493,36981,12546,13384,
adap_sequencial_search1 comparisons,19,146,177,688,2175,1243,11716,11413,5490,2322,43165,11514,
adap_sequencial_search1 comparisons,167,334,111,1009,35,919,6274,8195,623,3911,22711,44070,
adap_sequencial_search1 comparisons,371,171,221,1663,997,1446,11130,4790,4504,28485,8736,38278,
adap_sequencial_search1 comparisons,409,424,431,912,1386,1431,9239,7318,5694,52606,11483,18582,
adap_sequencial_search1 comparisons,193,211,227,1637,1837,887,4024,206,11025,13707,21390,52749,


